Scheduled,Host Key,Module Name,Name,Description,Activity Type Name,Size,Allocated Staff Name,Duration,Scheduled Weeks,Required Location Descriptions,Location Suitabilities,Department_Name,Jointly Taught Parents,Zone Name,When Scheduled,Who Scheduled,Scheduled Days,Scheduled Start Time,Scheduled End Time,Allocated Location Name,Allocated Location Description
Unchecked,#SPLUS06A552,BAA519_W_S1_I,BAA519_W_S1_I/WksB,Lean Thinking and Practice (Wks),Wks,12,,08:00,,,"LE-Computer,LE-Multimedia Projection,LE-Whiteboard / Writable surface,LF-Moveable Furniture",Tasmanian School of Business and Economics,,Cradle Coast,20/07/2016 10:38,,,,,,
Unchecked,#SPLUS4CBE7E,BFA141_L_S2_I,BFA141_L_S2_I/PASS/01,Commercial Transactions (PASSTut),PASSTut,16,,01:00,,,LT-TUT/SEM,Tasmanian School of Business and Economics,,Newnham,20/07/2016 10:37,,,,,,
Unchecked,#SPLUS4CBEAF,BFA141_L_S2_I,BFA141_L_S2_I/PASS/02,Commercial Transactions (PASSTut),PASSTut,20,,01:00,,,"LF-Moveable Furniture,LT-TUT/SEM",Tasmanian School of Business and Economics,,Newnham,20/07/2016 10:37,,,,,,
Unchecked,#SPLUS7E7369,BFA507_H_S2_I,BFA507_H_S2_I/Wks/03,The Accounting Framework (Wks),Wks,45,,03:00,,"Centen134 - ""Harvard"" Room 2","LB-TSBE,LE-Computer,LE-Document Camera",Tasmanian School of Business and Economics,,Sandy Bay,2/08/2016 11:19,,,,,,
Unchecked,#SPLUS5554F9,BFA605_H_S2_I,BFA605_H_S2_I/PASS/01,Financial and Corporate Accounting (PASSTut),PASSTut,20,,01:00,,Room 302 Tute Room,"LF-Moveable Furniture,LT-TUT/SEM",Tasmanian School of Business and Economics,,Sandy Bay,2/08/2016 14:20,,,,,,
Unchecked,#SPLUS282D11 001,CNA151_L_S1_I,"CNA151_L_S1_I/Tut/06 <9-13, 15, 17-18, 20-22>",Health and Health Care in Australia (Tut),Tut,24,,01:00,,NH.N205 Tutorial Room,LF-Moveable Furniture,School of Health Sciences,,Newnham,20/07/2016 10:37,,,,,,
Unchecked,#SPLUS282D11 002,CNA151_L_S1_I,"CNA151_L_S1_I/Tut/06 <16, 19>",Health and Health Care in Australia (Tut),Tut,24,,02:00,,NH.N205 Tutorial Room,LF-Moveable Furniture,School of Health Sciences,,Newnham,20/07/2016 10:37,,,,,,
Unchecked,#SPLUSF9A0C5,CNA155_H_S2_I,CNA155_H_S2_I/Lec/01,Health Assessment 2 (Lec),Lec,190,,02:00,,,"LE-E-Media Recording (Lectopia, etc.),LT-LECTHETR",School of Health Sciences,,Medical Science Precinct,20/07/2016 10:37,,,,,,
Unchecked,#SPLUSAE8A09,CSA307_H_S3_I,CSA307_H_S3_I/TutA/01,Transition to Pharmacy Practice 3 (Tut),Tut,5,,03:00,,Room 2007 Research /Tut Room,"LE-Computer,LE-Multimedia Projection,LT-TUT/SEM","Medicine, School of",,Sandy Bay,20/07/2016 10:37,,,,,,
Unchecked,#SPLUSAE8A0B,CSA307_H_S3_I,CSA307_H_S3_I/WksA/01,Transition to Pharmacy Practice 3 (Wks),Wks,5,,03:00,,SB.Pharm2030 Pharmacy Practice Rm1,"LE-Computer,LE-Multimedia Projection,LT-COMPLAB","Medicine, School of",,Sandy Bay,20/07/2016 10:37,,,,,,
Unchecked,#SPLUS54E653,CSA307_H_S3_I,CSA307_H_S3_I/TutB/01,Transition to Pharmacy Practice 3 (Tut),Tut,5,,03:00,,Room 2007 Research /Tut Room,"LE-Computer,LE-Multimedia Projection,LT-TUT/SEM","Medicine, School of",,Sandy Bay,20/07/2016 10:37,,,,,,
Unchecked,#SPLUS54E655,CSA307_H_S3_I,CSA307_H_S3_I/WksB/01,Transition to Pharmacy Practice 3 (Wks),Wks,5,,03:00,,SB.Pharm2030 Pharmacy Practice Rm1,"LE-Computer,LE-Multimedia Projection,LT-COMPLAB","Medicine, School of",,Sandy Bay,20/07/2016 10:37,,,,,,
Unchecked,#SPLUS3FE51F,CXA161_L_S1_I,CXA161_L_S1_I/Prac/01,Introduction to Human Biology (Prac),Prac,25,,02:00,,,LT-TEACHLAB(W),School of Health Sciences,,Newnham,20/07/2016 10:37,,,,,,
Unchecked,#SPLUS9D3AAC,CXA204_H_S1_I,CXA204_H_S1_I/LecC/01,Bioscience 1 (Lec),Lec,120,,02:00,,Room 115 MS2 Lecture Theatre 2,LT-LECTHETR,School of Health Sciences,,Medical Science Precinct,20/07/2016 10:37,,,,,,
Unchecked,#SPLUSD8260A,CXA204_H_S1_I,CXA204_H_S1_I/LecA/01,Bioscience 1 (Lec),Lec,120,,01:00,,,LT-LECTHETR,School of Health Sciences,,Medical Science Precinct,20/07/2016 10:38,,,,,,
Unchecked,#SPLUS847E36,CXA204_H_S1_I,CXA204_H_S1_I/Prac/06,Bioscience 1 (Prac),Prac,24,,02:00,,Room 211 Ill Dry,,School of Health Sciences,,Medical Science Precinct,20/07/2016 10:38,,,,,,
Unchecked,#SPLUSBE0385,FFD103_L_S3_I,FFD103_L_S3_I/Lec/1,Drawing from the Environment: REVISIONING YOUR LANDSCAPE (Lec),Lec,20,,01:00,,IR.IA275 Drawing Studio,,"Arts, Tasmanian College of the",,Inveresk,20/07/2016 10:38,,,,,,
Unchecked,#SPLUSBE0387,FFD103_L_S3_I,FFD103_L_S3_I/PracA/1,Drawing from the Environment: REVISIONING YOUR LANDSCAPE (Prac),Prac,20,,02:00,,IR.IA275 Drawing Studio,,"Arts, Tasmanian College of the",,Inveresk,20/07/2016 10:38,,,,,,
Unchecked,#SPLUSBE0389,FFD103_L_S3_I,FFD103_L_S3_I/PracB/1,Drawing from the Environment: REVISIONING YOUR LANDSCAPE (Prac),Prac,20,,03:00,,IR.IA275 Drawing Studio,,"Arts, Tasmanian College of the",,Inveresk,20/07/2016 10:38,,,,,,
Unchecked,#SPLUS862FFD,"FFD208_L_S2_I, FFD308_L_S2_I",FFD208_L_S2_I/Wks/1+FFD308_L_S2_I/Wks/1,,Wks,14,,02:00,,IR.IA 234  Printmaking Studio,,"Arts, Tasmanian College of the","FFD208_L_S2_I/Wks/1,FFD308_L_S2_I/Wks/1",Inveresk,5/08/2016 10:33,,,,,,
Unchecked,#SPLUS862FF5,"FFD308_L_S2_I, FFD208_L_S2_I",FFD208_L_S2_I/Wks/2+FFD308_L_S2_I/Wks/2,,Wks,14,,02:00,,IR.IA 234  Printmaking Studio,,"Arts, Tasmanian College of the","FFD208_L_S2_I/Wks/2,FFD308_L_S2_I/Wks/2",Inveresk,5/08/2016 10:33,,,,,,
Unchecked,#SPLUSE7A12D,FFE106_L_S1_I,FFE106_L_Sem1_I/Lec-Tut/01,Visual Arts A (Lec-Tut),Lec-Tut,34,,03:00,,IR.IA 181 Lecture / Video Conf Room,LT-LECTHETR,"Arts, Tasmanian College of the",,Inveresk,5/08/2016 10:33,,,,,,
Unchecked,#SPLUS4B6CD1,FFE107_L_S2_I,FFE107_L_Sem2_I/Lec-Tut/01,Visual Arts B (Lec-Tut),Lec-Tut,40,,03:00,,,LT-LECTHETR,"Arts, Tasmanian College of the",,Inveresk,5/08/2016 10:33,,,,,,
Unchecked,#SPLUS2ED7B9,FFP110_L_S2_I,FFP110_L_Sem2_I/Lec-Prac/01,Painting: Ideas in Images (Lec-Prac),Lec-Prac,20,,03:00,,IR.IA 254 Painting Studio,LT-STUDIOART,"Arts, Tasmanian College of the",,Inveresk,5/08/2016 10:33,,,,,,
Unchecked,#SPLUS2ED795,FFR110_L_S1_I,FFR110_L_Sem1_I/Lec-Prac/01,Photography: Media and Methods (Lec-Prac),Lec-Prac,20,,03:00,,IR.IA 160 Photographics Workshop,,"Arts, Tasmanian College of the",,Inveresk,5/08/2016 10:33,,,,,,
Unchecked,#SPLUS41A124,FSA111_H_S1_I,FSA111_H_S1_I/Prac/2/1,Core Studies in Art and Design (Prac),Prac,25,,03:00,,Room 211 Seminar Room 4,,"Arts, Tasmanian College of the",,Centre for the Arts,5/08/2016 10:33,,,,,,
Unchecked,WDC#1077,FSA111_H_S1_I,FSA111_H_S1_I/Prac/06,Core Studies in Art and Design (Prac),Prac,25,,03:00,,Room 211 Seminar Room 4,,"Arts, Tasmanian College of the",,Centre for the Arts,5/08/2016 10:33,,,,,,
Unchecked,WDC#1072,FSA111_H_S1_I,FSA111_H_S1_I/Prac/01,Core Studies in Art and Design (Prac),Prac,25,,03:00,,Room 211 Seminar Room 4,,"Arts, Tasmanian College of the",,Centre for the Arts,5/08/2016 10:33,,,,,,
Unchecked,WDC#1902,FSA111_H_S1_I,FSA111_H_S1_I/Lec/01,Core Studies in Art and Design (Lec),Lec,75,,01:00,,Room 145 Dechaineux Theatre,"LE-E-Media Recording (Lectopia, etc.),LT-LECTHETR","Arts, Tasmanian College of the",,Centre for the Arts,5/08/2016 10:33,,,,,,
Unchecked,#SPLUS5FAA4B,FSA111_H_S2_I,FSA111_H_S2_I/Lec/01,Core Studies in Art and Design (Lec),Lec,50,,01:00,,Room 145 Dechaineux Theatre,LT-LECTHETR,"Arts, Tasmanian College of the",,Centre for the Arts,5/08/2016 10:33,,,,,,
Unchecked,#SPLUS5FAA4F,FSA111_H_S2_I,FSA111_H_S2_I/Prac/01,Core Studies in Art and Design (Prac),Prac,25,,03:00,,,"LE-Computer,LF-Moveable Furniture,LG-Flat,LT-TUT/SEM","Arts, Tasmanian College of the",,Centre for the Arts,5/08/2016 10:33,,,,,,
Unchecked,#SPLUS5FAA53,FSA111_H_S2_I,FSA111_H_S2_I/Prac/02,Core Studies in Art and Design (Prac),Prac,25,,03:00,,,"LE-Computer,LF-Moveable Furniture,LG-Flat,LT-TUT/SEM","Arts, Tasmanian College of the",,Centre for the Arts,5/08/2016 10:33,,,,,,
Unchecked,#SPLUS208FD5,FST101_H_S1_I,FST101_H_S1_I/Tut/02,Introduction to Art and Design Theory 1A (Tut),Tut,22,,02:00,,,"LE-Computer,LE-DVD Capability,LE-Multimedia Projection","Arts, Tasmanian College of the",,Centre for the Arts,5/08/2016 10:33,,,,,,
Unchecked,#SPLUS208FD9,FST101_H_S1_I,FST101_H_S1_I/Tut/04,Introduction to Art and Design Theory 1A (Tut),Tut,19,,02:00,,,"LE-Computer,LE-DVD Capability,LE-Multimedia Projection","Arts, Tasmanian College of the",,Centre for the Arts,5/08/2016 10:33,,,,,,
Unchecked,#SPLUS208FDB,FST101_H_S1_I,FST101_H_S1_I/Tut/05,Introduction to Art and Design Theory 1A (Tut),Tut,19,,02:00,,Room 108 Seminar Room 3,,"Arts, Tasmanian College of the",,Centre for the Arts,5/08/2016 10:33,,,,,,
Unchecked,#SPLUS208FDD,FST101_H_S1_I,FST101_H_S1_I/Tut/06,Introduction to Art and Design Theory 1A (Tut),Tut,19,,02:00,,,"LE-Computer,LE-DVD Capability,LE-Multimedia Projection","Arts, Tasmanian College of the",,Centre for the Arts,5/08/2016 10:33,,,,,,
Unchecked,#SPLUS208FDF,FST101_H_S1_I,FST101_H_S1_I/Tut/07,Introduction to Art and Design Theory 1A (Tut),Tut,22,,02:00,,,"LE-Computer,LE-DVD Capability,LE-Multimedia Projection","Arts, Tasmanian College of the",,Centre for the Arts,5/08/2016 10:33,,,,,,
Unchecked,#SPLUS5DE057,FST101_H_S1_I,FST101_H_S1_I/PASS/01,Introduction to Art and Design Theory 1A (PASSTut),PASSTut,20,,01:00,,Room 108 Seminar Room 3,"LF-Moveable Furniture,LT-TUT/SEM","Arts, Tasmanian College of the",,Centre for the Arts,5/08/2016 10:33,,,,,,
Unchecked,#SPLUS5DE071,FST101_H_S1_I,FST101_H_S1_I/PASS/02,Introduction to Art and Design Theory 1A (PASSTut),PASSTut,20,,01:00,,Room 108 Seminar Room 3,"LF-Moveable Furniture,LT-TUT/SEM","Arts, Tasmanian College of the",,Centre for the Arts,5/08/2016 10:33,,,,,,
Unchecked,WDC#3446,FST101_H_S1_I,FST101_H_S1_I/Lec/01,Introduction to Art and Design Theory 1A (Lec),Lec,115,,01:00,,Room 145 Dechaineux Theatre,"LE-E-Media Recording (Lectopia, etc.),LT-LECTHETR","Arts, Tasmanian College of the",,Centre for the Arts,5/08/2016 10:33,,,,,,
Unchecked,WDC#12955,FST101_H_S1_I,FST101_H_S1_I/Tut/01,Introduction to Art and Design Theory 1A (Tut),Tut,19,,02:00,,Room 123C Seminar Room 1,"LE-Computer,LE-DVD Capability,LE-Multimedia Projection","Arts, Tasmanian College of the",,Centre for the Arts,20/07/2016 10:38,,,,,,
Unchecked,#SPLUS5DE0EF,FST102_H_S2_I,FST102_H_S2_I/PASS/01,Introduction to Art and Design Theory 1B (PASSTut),PASSTut,20,,01:00,,Room 108 Seminar Room 3,"LF-Moveable Furniture,LT-TUT/SEM","Arts, Tasmanian College of the",,Centre for the Arts,5/08/2016 10:33,,,,,,
Unchecked,#SPLUS5DE124,FST102_H_S2_I,FST102_H_S2_I/PASS/02,Introduction to Art and Design Theory 1B (PASSTut),PASSTut,20,,01:00,,Room 108 Seminar Room 3,"LF-Moveable Furniture,LT-TUT/SEM","Arts, Tasmanian College of the",,Centre for the Arts,5/08/2016 10:33,,,,,,
Unchecked,#SPLUSD260BB,FST102_H_S2_I,FST102_H_Sem2_I/Tut/01,Introduction to Art and Design Theory 1B (Tut),Tut,17,,02:00,,Room 108 Seminar Room 3,LT-TUT/SEM,"Arts, Tasmanian College of the",,Centre for the Arts,5/08/2016 10:33,,,,,,
Unchecked,#SPLUS82E26B,FST102_H_S2_I,FST102_H_Sem2_I/Lec/01,Introduction to Art and Design Theory 1B (Lec),Lec,100,,01:00,,,LT-LECTHETR,"Arts, Tasmanian College of the",,Centre for the Arts,5/08/2016 10:33,,,,,,
Unchecked,#SPLUS82E26D,FST102_H_S2_I,FST102_H_Sem2_I/Tut/02,Introduction to Art and Design Theory 1B (Tut),Tut,17,,02:00,,Room 123C Seminar Room 1,LT-TUT/SEM,"Arts, Tasmanian College of the",,Centre for the Arts,5/08/2016 10:33,,,,,,
Unchecked,#SPLUS82E26F,FST102_H_S2_I,FST102_H_Sem2_I/Tut/03,Introduction to Art and Design Theory 1B (Tut),Tut,17,,02:00,,Room 108 Seminar Room 3,LT-TUT/SEM,"Arts, Tasmanian College of the",,Centre for the Arts,5/08/2016 10:33,,,,,,
Unchecked,#SPLUS82E271,FST102_H_S2_I,FST102_H_Sem2_I/Tut/04,Introduction to Art and Design Theory 1B (Tut),Tut,17,,02:00,,Room 108 Seminar Room 3,LT-TUT/SEM,"Arts, Tasmanian College of the",,Centre for the Arts,5/08/2016 10:33,,,,,,
Unchecked,#SPLUS82E273,FST102_H_S2_I,FST102_H_Sem2_I/Tut/05,Introduction to Art and Design Theory 1B (Tut),Tut,17,,02:00,,Room 108 Seminar Room 3,LT-TUT/SEM,"Arts, Tasmanian College of the",,Centre for the Arts,5/08/2016 10:33,,,,,,
Unchecked,#SPLUS82E275,FST102_H_S2_I,FST102_H_Sem2_I/Tut/06,Introduction to Art and Design Theory 1B (Tut),Tut,17,,02:00,,,LT-TUT/SEM,"Arts, Tasmanian College of the",,Centre for the Arts,5/08/2016 10:33,,,,,,
Unchecked,#SPLUSF17056,FST203_H_S1_I,FST203_H_Sem1_I/Tut/01,From Modernism to Postmodernism (Tut),Tut,21,,01:00,,,"LE-Computer,LE-DVD Capability,LE-Multimedia Projection","Arts, Tasmanian College of the",,Centre for the Arts,5/08/2016 10:33,,,,,,
