HOSTKEY,YEAR,studyPeriod,NAME,start,finish,,
11P01,O,Week Session Feb,2017_11P01_11 ,"Monday, 30 January 2017","Saturday, 8 April 2017",,
11P02,O,Week Session Oct,2017_11P02_11 Week Session Oct,"Monday, 11 September 2017","Friday, 24 November 2017",,
11P03,O,Week Session Apr,2017_11P03_11 Week Session Apr,"Monday, 3 April 2017","Monday, 19 June 2017",,
12P01,O,Week Session Aug,2017_12P01_12 Week Session Aug,"Monday, 7 August 2017","Friday, 27 October 2017",,
16P01,O,Week Session Jul,2017_16P01_16 Week Session Jul,"Monday, 26 June 2017","Friday, 13 October 2017",,
5TP01,O,Week Session Jan A,2017_5TP01_5 Week Session Jan A,"Monday, 2 January 2017","Saturday, 4 February 2017",,
5TP02,O,Week Session Feb B,2017_5TP02_5 Week Session Jan B,"Monday, 16 January 2017","Monday, 20 February 2017",,
5TP04,O,Week Session Feb B,2017_5TP04_5 Week Session Feb B,"Monday, 6 February 2017","Saturday, 11 March 2017",,
5TP05,O,Week Session Mar,2017_5TP05_5 Week Session Mar,"Monday, 13 March 2017","Friday, 21 April 2017",,
5TP07,O,Week Session Ma,2017_5TP07_5 Week Session May,"Monday, 1 May 2017","Friday, 2 June 2017",,
5TP08,O,Week Session Jun,2017_5TP08_5 Week Session Jun,"Monday, 5 June 2017","Monday, 10 July 2017",,
5TP10,O,Week Session Jul,2017_5TP10_5 Week Session Jul,"Monday, 17 July 2017","Monday, 21 August 2017",,
5TP12,O,Week Session Sep,2017_5TP12_5 Week Session Sep,"Monday, 21 August 2017","Monday, 25 September 2017",,
5TP13,O,Week Session Oct,2017_5TP13_5 Week Session Oct,"Monday, 2 October 2017","Friday, 3 November 2017",,
5TP14,O,Week Session Nov,2017_5TP14_5 Week Session Nov,"Monday, 6 November 2017","Friday, 8 December 2017",,
8TP01,O,Week Session May,2017_8TP01_8 Week Session May,"Monday, 24 April 2017","Friday, 16 June 2017",,
8TP02,O,Week Session Jul,2017_8TP02_8 Week Session Jul,"Monday, 3 July 2017","Friday, 25 August 2017",,
ELC01,O,ELC Period 1,2017_ELC01_ELC Period 1,"Tuesday, 3 January 2017","Friday, 3 February 2017",,
ELC02,O,ELC Period 2,2017_ELC02_ELC Period 2,"Monday, 6 February 2017","Friday, 10 March 2017",,
ELC03,O,ELC Period 3,2017_ELC03_ELC Period 3,"Tuesday, 14 March 2017","Thursday, 13 April 2017",,
ELC04,O,ELC Period 4,2017_ELC04_ELC Period 4,"Monday, 1 May 2017","Friday, 2 June 2017",,
ELC05,O,ELC Period 5,2017_ELC05_ELC Period 5,"Monday, 5 June 2017","Friday, 7 July 2017",,
ELC06,O,ELC Period 6,2017_ELC06_ELC Period 6,"Monday, 17 July 2017","Friday, 18 August 2017",,
ELC07,O,ELC Period 7,2017_ELC07_ELC Period 7,"Monday, 21 August 2017","Friday, 29 September 2017",,
ELC08,O,ELC Period 8,2017_ELC08_ELC Period 8,"Monday, 2 October 2017","Friday, 3 November 2017",,
ELC09,O,ELC Period 9,2017_ELC09_ELC Period 9,"Monday, 6 November 2017","Friday, 8 December 2017",,
ENA01,O,Unistart Period 1,2017_ENA01_Unistart Period 1,"Monday, 16 January 2017","Friday, 2 June 2017",,
ENA02,O,Unistart Period 2,2017_ENA02_Unistart Period 2,"Monday, 12 June 2017","Friday, 20 October 2017",,
FYP01,O,Full Year Period,2017_FYP01_Full Year Period,"Monday, 27 February 2017","Saturday, 21 October 2017",,
HYP01,O,Half Year Period 1,2017_HYP01_Half Year Period 1,"Monday, 23 January 2017","Monday, 26 June 2017",,
HYP02,O,Half Year Period 2,2017_HYP02_Half Year Period 2,"Monday, 3 July 2017","Monday, 4 December 2017",,
INP01,O,Intensive Session Jan A,2017_INP01_Intensive Session Jan A,"Monday, 2 January 2017","Saturday, 14 January 2017",,
INP02,O,Intensive Session Jan B,2017_INP02_Intensive Session Jan B,"Monday, 9 January 2017","Saturday, 28 January 2017",,
INP03,O,Intensive Session Feb A,2017_INP03_Intensive Session Feb A,"Monday, 30 January 2017","Saturday, 18 February 2017",,
INP04,O,Intensive Session Feb B,2017_INP04_Intensive Session Feb B,"Monday, 6 February 2017","Saturday, 18 February 2017",,
INP06,O,Intensive Session Jun,2017_INP06_Intensive Session Jun,"Monday, 19 June 2017","Wednesday, 12 July 2017",,
LEGL1,O,Legal Practice,2017_LEGL1_Legal Practice,"Monday, 30 January 2017","Sunday, 30 July 2017","Sunday, 2 April 2017","Saturday, 8 April 2017"
MOOT1,O,Mooting Period 1,2017_MOOT1_Mooting Period 1,"Monday, 27 February 2017","Friday, 2 June 2017","Thursday, 30 March 2017","Wednesday, 5 April 2017"
MOOT2,O,Mooting Period 2,2017_MOOT2_Mooting Period 2,"Monday, 17 July 2017","Friday, 20 October 2017","Monday, 4 September 2017","Friday, 8 September 2017"
SEM01,O,Semester 1,2017_SEM01_Semester 1,"Monday, 27 February 2017","Friday, 2 June 2017","Thursday, 13 April 2017","Wednesday, 19 April 2017"
SEM02,O,Semester 2,2017_SEM02_Semester 2,"Monday, 17 July 2017","Friday, 20 October 2017","Monday, 4 September 2017","Friday, 8 September 2017"
SPR01,O,Spring school,2017_SPR01_Spring school,"Monday, 23 October 2017","Wednesday, 3 January 2018",,
SPR02,O,Spring school (late),2017_SPR02_Spring school (late),"Monday, 13 November 2017","Wednesday, 27 December 2017",,
SPR03,O,Spring school (extended),2017_SPR03_Spring school (extended),"Monday, 30 October 2017","Tuesday, 13 February 2018",,
SPR04,O,Spring school (November),2017_SPR04_Spring school (November),"Monday, 13 November 2017","Saturday, 10 February 2018",,
SUMLT,O,Summer school,2017_SUMLT_Summer school,"Monday, 2 January 2017","Saturday, 25 February 2017",,
SUMMR,O,Summer school (early),2017_SUMMR_Summer school (early),"Monday, 31 October 2016","Tuesday, 14 February 2017",,
WIN01,O,Winter school (early),2017_WIN01_Winter school (early),"Monday, 22 May 2017","Thursday, 29 June 2017",,
WIN02,O,Winter school,2017_WIN02_Winter school,"Monday, 5 June 2017","Sunday, 16 July 2017",,
WIN03,O,Winter school (late),2017_WIN03_Winter school (late),"Monday, 26 June 2017","Saturday, 16 September 2017",,
